Company Name,Website/Doman,Country
Bosch Global Software Technologies GmbH,,
BURBERRY LIMITED,burberry.com,
CALZEDONIA SPA,calzedonia.it,
CASTORAMA FRANCE,castorama.fr,France
CONFORAMA FRANCE,http://conforama.fr,France
Continental AG,http://report.conti-online.com,
Daimler AG,daimler.com,
DECATHLON,decathlon.fr,
DECATHLON ITALIA SRL,,
DUNE GROUP LIMITED,dunelondon.com,United Kingdom
G-Star Raw C.V.,www.g-star.com,
GROUPE SEB FRANCE,www.groupeseb.com,France
Home Bargains,http://www.homebargains.co.uk,
Howdens Joinery Co,https://www.howdens.com,
JOHN LEWIS PLC,http://www.johnlewis.com,
JOULES LIMITED,joules.com,
Konica Minolta Business Solutions Europe GmbH,konicaminolta.de,
L'OREAL,www.kerastase.fr,France
LA REDOUTE,laredoute.fr,France
LEGO System A/S,www.lego.com,Denmark
MAHLE GmbH,mahle.com,
MANGO SA,,
MAPEI SPA,http://www.mapei.it,
MATALAN RETAIL LTD.,https://www.matalan.co.uk,
Miele & Cie. KG,miele.de,Germany
MISSGUIDED LIMITED,,
Opel Automobile GmbH,www.ferchau.com,
OVS SPA,ovscorporate.com,
PROMOD,www.promod.com,France
Red Bull GmbH,http://www.redbull.at,
RIVER ISLAND HOLDINGS LIMITED,riverisland.com,
SAS HERMES,www.hermesjardinerie.com,
SHISEIDO INTERNATIONAL FRANCE,www.narcisorodriguez.com,
TEDi GmbH & Co. KG,,
TENDAM RETAIL SA.,http://www.grupocortefiel.com,
TRAVIS PERKINS PLC,travisperkins.co.uk,
UNILEVER UK LIMITED,http://www.unilever.com,
Zalando SE,zalando.de,
